art         artisan

b           ./bin/...

c           cd && ls
cg          cd $(git root)
com         composer
cv          cd vendor/d13r/ (or vendor/d13r/$1)
cw          cd <web root> (e.g. /var/www)
cwc         cd wp-content/
cwp         cd wp-content/plugins/
cwt         cd wp-content/themes/<theme>/
cy          cypress

dus         du -sh ... | sort -h

e           $EDITOR

g           git

h           ssh $1 tmux ...

l           ls -l
la          ls -lA
lsa         ls -A

m           exec tmux ... (Launch Tmux or switch sessions)
mark        create alias for 'cd $PWD'
marks       list existing directory aliases
md          mkdir && cd
mfs         php artisan migrate:fresh --seed
mp          multipass
mux         tmuxinator
myip        curl ipinfo.io
pow         poweroff
pping       Pretty ping
pu          phpunit
pwgen       Password generator
redis       redis-cli
reload      exec bash -l

s           sudo
sc          systemctl
se          sudo $EDITOR
sf          symfony
sl          sudo ls
sls         serverless
storm       phpstorm

tarc        tar jcvf ... or 7z a ...
tf          terraform

u           cd ..
uu          cd ../.. (repeat 'u' up to 6 times)
unmark      delete directory alias

v           vagrant

xdebug on   export XDEBUG_SESSION=1
xdebug off  unset XDEBUG_SESSION
xe          $EDITOR ... && chmod +x
xp          explorer.exe (in WSL)
